Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
D13-MICOSJCUP,KMY13 Depot-13 Gate,RGD Ragigudda Temple,2,2,100.0,1,1,100.0
SRN-HLGUP,SURNR Surya Nagara,CPR2 Chandapura (Towards Dommasandra),2,2,100.0,5,5,100.0
600-F ATB-MRHB-BTP UP,BTLCLG BTL College,CSB21 Central Silk Board (Towards Marathahalli),2,2,100.0,1,1,100.0
KRPRY-TNFUP,KRPGHP KR Puram Govt Hospital,KRPRST KR Puram Railway Station,2,2,100.0,10,10,100.0
V-600CDN,ROPAG Rupena Agrahara,RGGD Ragigudda Temple,3,5,60.000004,1,1,100.0
BWPS-LGP-KLNBDN,COLPK Coles Park (Towards Doddy),KARCH1 Kacharakanahalli,2,3,66.66667,6,7,85.71429
PTH-VPPUP,CHKHLY Chikka Bettahalli,VDPRA Vidyaranyapura,2,4,50.0,1,1,100.0
231-KUP,AVRGRC1 Avaragere Cross,BDD Bidadi,3,17,17.647058,1,1,100.0
KDB-D35DN,KDBG Kadabagere,KDBGC Kadabagere Cross,2,2,100.0,16,16,100.0
CVR-MEBPUP,CVRMGN CV Raman Nagara (Towards Benniganahalli),KASTN Kasthuri Nagara Ring Road,2,2,100.0,1,1,100.0
YTTMC-CJPUP,YTTMC1 Yashawanthapura TTMC,MTKR Mattikere,3,3,100.0,4,5,80.0
D35-MCHUP,KDBGC Kadabagere Cross,MCH Machohalli,2,3,66.66667,4,5,80.0
KGR-BSNDN,KGR2 Kengeri TTMC,JOKMGT Jn of Kommaghatta,2,2,100.0,1,1,100.0
D06-CRSUP,LFSTY Life Style,KBS1 Kempegowda Bus Station,2,2,100.0,1,1,100.0
500-KBDN,YTTMC1 Yashawanthapura TTMC,MTKR Mattikere,3,3,100.0,5,6,83.33333
SVNB-KBSDN,CHRPE Chamarajapet (Towards Kempegowda Bus Station),KBS123 Kempegowda Bus Station,3,3,100.0,3,3,100.0
SVG-YTTMCUP,SVTG CS-Sri Venkateshwara Garments Gorguntepalya,YTTMC1 Yashawanthapura TTMC,3,3,100.0,3,4,75.0
CAPGR-DMLUP,KFCIPDR Police Station Indiranagara,DPNH Dhoopanahalli,2,6,33.333336,1,1,100.0
NLSB-ACCB6UP,DMLUR Domlur (Towards HAL),KUDGT Kundalahalli Gate,3,3,100.0,2,2,100.0
PSS-VSREUP,NTTF NTTF Peenya,JHC2 Jalahalli Cross,2,3,66.66667,10,12,83.33333
NSB-JAPCUP,NSRGBD Nisarga Badavane,KPGT Koppa Gate,2,2,100.0,1,1,100.0
KIAS-8BUP,NAGJN Jn of Nagawara,HBLB Hebbala Bridge (Towards Bhadrappa Layout),4,20,20.0,5,6,83.33333
MGR-SNBSUP,RCHMDCR Richmond Circle,SNTTMC Shanthinagara TTMC,2,2,100.0,1,1,100.0
AGSL-BSKDN,KDHP Kadirenahalli Park,BSKTTMC0 Banashankari TTMC,2,2,100.0,2,2,100.0
TGP-D35DN,ADH0 Andhrahalli,BDH2 Byadarahalli (Towards Gollarahatti),2,2,100.0,2,2,100.0
V-335TUP,VYDHS White Field TTMC (Vydehi Hospital),ITL ITPL,3,17,17.647058,5,5,100.0
HPM-ITPLUP,HPM CS-HP SofTowardsare Mahadevapura,BBZ Big Bazzar  ITPL,2,3,66.66667,1,1,100.0
KMT-CSRDN,BHVI Bhovi Colony,CHOD1 Choodasandra,2,11,18.181818,1,1,100.0
KMT-CSBSUP,CKHSAM Chikkallasandra Aralimara (Chikkalasandra),CKBS1 Chikkallasandra,2,7,28.57143,3,3,100.0
HLM-ELC UP,KMPUR Kempapura ,ELC3 Electronic City (Towards Attibele),2,2,100.0,1,1,100.0
ELC-BGTPSUP,BEGLI Begihalli,MNTPACRO Mantapa Cross,2,8,25.0,2,2,100.0
356CDUP,SIA1 SI Apartment HSR Layout,WPRGT1 Wipro Gate Shikaripalya Cross,3,5,60.000004,547,549,99.635704
D13-BSKUP,KMY13 Depot-13 Gate,BSKTTMC0 Banashankari TTMC,2,2,100.0,2,2,100.0
KBS-D14 111CUP,GTVN Ganesha Temple Vasanthanagara,RTN2 RT Nagara,2,2,100.0,1,1,100.0
291-BUP,Corpo Corporation (Towards KR Market),KRM4 KR Market,2,3,66.66667,1,1,100.0
43DUP,HNTMWRD Hanumanthanagara Ward Office ,BANKC Bank Colony,2,2,100.0,1,1,100.0
241-CUP,YKDGHC Yale Kodigehalli Colony,YKDH Yale Kodigehalli,2,11,18.181818,1,1,100.0
D-34 GATE-CKPUP,BSPRG Basavanapura Gate,CKPL CK Palya ,3,3,100.0,4,4,100.0
SBS-BDG 241DUP,SBS0 Shivajinagara Bus Station,KBS1 Kempegowda Bus Station,2,5,40.0,16,18,88.88889
KRSL-PSSDN,NGSC8 Nagasandra Cross,JHC4 Jalahalli Cross,2,3,66.66667,7,8,87.5
NBVB-DPJUP,AITKGT Kengunte Circle,NGBVC1 Nagarabhavi Circle,2,2,100.0,1,1,100.0
CVRN-DMLUP,TPS1 Thippasandra,KFCIPDR Police Station Indiranagara,2,3,66.66667,3,4,75.0
SMH-KBS 238ZAUP,SRSC5 Sirsi Circle,KBS123 Kempegowda Bus Station,2,2,100.0,1,1,100.0
TMP-BDDDN,TMPNPL1 Thimmappana Palya,BDD Bidadi,4,4,100.0,1,1,100.0
314-BMDN,KGPR1 Kaggadasapura,CVRMGN CV Raman Nagara (Towards Benniganahalli),2,2,100.0,1,1,100.0
D38-VGKUP,CNPCR Muttanalluru Cross,DMS1 Dommasandra,2,4,50.0,8,10,80.0
KGR-RV-CLOUP,BNGUSTY Bengaluru University Gate (Towards ADM Block),BUAMB Bengaluru University Administrative Block,2,3,66.66667,3,3,100.0
BEML5-KMLW 210UBUP,UTH Uttarahalli,VSPL Vasanthapura,2,4,50.0,8,10,80.0
V-226HSRUP,SIA1 SI Apartment HSR Layout,WNDRPRK Wonderla Amusement Park,2,2,100.0,3,3,100.0
SNBS-NRGUP,NCBS Nanjappa Circle,AUTTN Austin Town,2,2,100.0,2,2,100.0
IDPEL-PSSDN,KRVS Kanteerava Studio,PSS Peenya 2nd Stage,2,2,100.0,1,1,100.0
YTTMC-JCNK 89DUP,MODIH Modi Hospital,KRBRHL Kurubarahalli,2,2,100.0,8,8,100.0
ITPL-JFWTCUP,ITPL ITPL,SJRH Sathya Sai Hospital,2,2,100.0,1,1,100.0
600-CFDN,RPNAGR Rupena Agrahara,BSKTTMC0 Banashankari TTMC,4,4,100.0,2,2,100.0
BHR-IAF-PTHDN,VTHL Venkatala,YHKSC Yelahanka Santhe Circle,2,5,40.0,2,2,100.0
356CDDN,WPTGT1 Wipro Gate Shikaripalya Cross,HSRA2 SI Apartment HSR Layout,5,8,62.5,414,524,79.00763
OBH-DTTMCDN,KFCIPDR Police Station Indiranagara,DPNH Dhoopanahalli,2,2,100.0,3,3,100.0
D31G-ANP 246UP,SKT1 Sunkadakatte,SGK Sri GandhadaKavalu,2,2,100.0,1,1,100.0
KML-D21G 15EDN,UTH1 Uttarahalli,CHNDRK Channasandra (Towards Kengeri),2,3,66.66667,13,15,86.666664
