Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
V-226SBSDN,WNDRLAPRK Wonderla Amusement Park,KBS1 Kempegowda Bus Station,3,3,100.0,42,50,84.0
BPH-ELCWDN,MDWL Madivala,ELCWG ELC Wipro Gate,4,7,57.14286,42,76,55.263157
300-EDN,KRPRST KR Puram Railway Station,RMNADM Ramamurthy Nagara Alada Mara,2,14,14.285715,2019,18186,11.101946
282-ADN,BRP1 Byatarayanapura (Towards Hebbala),KRM4 KR Market,10,17,58.823532,49,751,6.5246334
BNP-SSPUP,GTR1 Gottigere (Towards Kalena Agrahara),HMG Hulimavu Gate (Towards Jayadeva Hospital),2,2,100.0,1,1,100.0
304-NDN,HODC Hoodi (Towards ITPL),GDRP Garudacharpalya,2,18,11.111112,45,649,6.9337444
346-PUP,SBS0 Shivajinagara Bus Station,BMH2 Bommanahalli (Towards Electronic City),12,21,57.14286,51,1022,4.9902153
317MUP,KRM4 KR Market,KRPM-1 KR Puram Market,9,20,45.0,153,1791,8.542713
228-H KMTDN,KGR1 Kengeri TTMC,KBS123 Kempegowda Bus Station,8,13,61.538464,11,131,8.396947
PTHJKR-SBSDN,KDGH23 Kadugondanahalli Police Station,SBS1 Shivajinagara Bus Station,5,12,41.666664,37,232,15.9482765
293-BUP,KARCH1 Kacharakanahalli,KOTNR Kothanuru ,4,15,26.666668,57,449,12.694878
360-CUP,KMT1 KR Market (Kalasipalya),HBGDI Hebbagodi,14,21,66.66667,31,522,5.9386973
SAES-CKB-PSSDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC4 Jalahalli Cross,2,7,28.57143,159,598,26.588627
MDL-CBLOUP,KRMPPO1 Passport Office Koramangala ,MYH1 Mayohall,4,8,50.0,10,44,22.727274
BMW-PTNDN,HNMSR Hunasamaranahalli,YHKSC Yelahanka Santhe Circle,11,11,100.0,7,32,21.875
377UP,NMG0 Nelamangala Bus Station,KGR2 Kengeri TTMC,15,25,60.000004,64,574,11.149826
316DN,KRPM KR Puram Market,TIF Tin Factory,2,17,11.764706,38,532,7.1428576
415-EUP,KRM4 KR Market,KBS1 Kempegowda Bus Station,3,11,27.272728,61,422,14.454976
330-HDN,MNKLCR1 Munnekolalu Cross,SBS1 Shivajinagara Bus Station,9,10,90.0,67,795,8.427672
60UP,SJTR Sujatha Talkies,KBS123 Kempegowda Bus Station,2,3,66.66667,1,1,100.0
253-MDN,YTTMC1 Yashawanthapura TTMC,KBS123 Kempegowda Bus Station,4,13,30.769232,25,439,5.694761
PPLO-KKC-KMTUP,KKC1 Konanakunte Cross,BSKTTMC0 Banashankari TTMC,3,8,37.5,5,19,26.31579
ITPL-ORRCASDN,ITPL ITPL,BLDR Bellanduru City Light Appartment ,4,4,100.0,2,4,50.0
505-EUP,BMH4 Bommanahalli (Towards St Johns),MTDB Marathahalli Bridge,8,14,57.14286,14,173,8.092485
KRMTTMC-KRNUP,AGRA1 Jn of Agara,HLNYK Halanayakanahalli,4,8,50.0,10,35,28.57143
356-CW UFLYOUP,INFLT1 Infosys Parking Lot,BMH4 Bommanahalli (Towards St Johns),5,7,71.42857,9,48,18.75
BRTN-SBSUP,BTS Bharath Nagara 1st Phase,SKDKT1 Sunkadakatte,2,10,20.0,46,136,33.82353
MBS-6UP,SBST Shivajinagara Bus station,HLS-1 Halasuru,3,17,17.647058,60,857,7.001167
176-AUP,MGDTLG Magadi Road TollGate ,DTTRY Dattatreya Temple Malleshwaram,4,8,50.0,4,26,15.384616
243-CDN,MGDTLG Magadi Road TollGate ,KMT1 KR Market (Kalasipalya),4,11,36.363636,54,445,12.134831
MYH-KRMTTMCUP,VNRPT Vannarapet,KRMPPO Passport Office Koramangala ,2,3,66.66667,1,2,50.0
285-MAUP,CVRBN Cauvery Bhavana,DBP Doddaballapura Old Bus Stand,36,36,100.0,799,8894,8.983584
75-EUP,MLESHW 8th Cross Malleshwaram (Margosa Road),MGDTG Magadi Road TollGate ,5,9,55.555557,92,501,18.363274
45-AUP,KRMT1 KR Market,BANKC Bank Colony,4,7,57.14286,261,1034,25.24178
398-BUP,BTLCLG BTL College,JOSRMPUR Rupesh Hotel,2,17,11.764706,147,808,18.19307
502-HADN,BGLG1 Bagalagunte (Towards 8th Mile),JHC4 Jalahalli Cross,3,17,17.647058,94,1314,7.1537294
BUADM-CAPGSUP,BPN Bapujinagara,KMTFLY KR Market Flyover,3,17,17.647058,25,208,12.019231
248BBUP,SKK Sunkadakatte,JLCR1 Jalahalli Cross,5,15,33.333336,26,428,6.0747666
211-KUP,SECRL South End Circle,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),2,16,12.5,39,501,7.7844315
D-34-ANP10BUP,JSD3 Jambu Savari Dinne,GLF2 Glass Factory (Towards Anjanapura),3,3,100.0,2,2,100.0
245-DAUP,SKK Sunkadakatte,BDH2 Byadarahalli (Towards Gollarahatti),2,16,12.5,37,394,9.390863
201-RUP,krmsyw80 Sony World 80ft Road  Koramangala,KFCPS Police Station Indiranagara ,4,9,44.444447,11,43,25.581396
HCH-RMCPFUP,HMTCH HMT Club House,Richdcrkl Richmond Circle (PF Office Under Fly Over),10,10,100.0,33,88,37.5
HSR BC-ATBDN,SIA1 SI Apartment HSR Layout,HBGDI Hebbagodi,8,10,80.0,13,31,41.935482
CGD-KMT-226EDN,BPN Bapujinagara,KMT1 KR Market (Kalasipalya),3,16,18.75,66,624,10.576923
289-HDN,BGLU Bagalur (Towards Yalahanka),YHK Yelahanka Old Town,6,17,35.294117,24,192,12.5
MF-1UP,SVMS1 Swamy Vivekananda Metro Station,KRPRLY Railway Station KR Puram,8,33,24.242424,794,8660,9.1685915
331-AUP,MRH Marathahalli ,SJRHS Sathya Sai Hospital,5,14,35.714287,29,244,11.885246
D35-BVRHUP,D35G Depot-35 Gate,TVK1 Tavarekere,5,5,100.0,1,1,100.0
285 RKMSDN,RJNKT Rajanukunte,NES1 NES Office,8,24,33.333336,6,94,6.382979
366-QDN,LBGHG Lalbagh Main Gate,KMT1 KR Market (Kalasipalya),3,24,12.5,262,4397,5.958608
218-AUP,KGR2 Kengeri TTMC,BSVN1 Basavanagara Kengeri,2,3,66.66667,3,5,60.000004
BSK-D34GT 374CUP,MICLYT MICO Layout Checkpost Gopalan mall ,HMGT Hulimavu Gate (Towards Meenakshi Temple),3,4,75.0,11,28,39.285713
CKB-VSD-KMT 271FDN,TELEE Telephone Exchange AGO ,KRM4 KR Market,3,12,25.0,1,1,100.0
306-SDN,CNSA Channasandra (Towards Hope Farm),HOFM Hope Farm (Towards ITPL),2,16,12.5,5,56,8.928572
240-EDN,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,12,16.666668,85,888,9.572072
DKH-CSB-DCHUP,JNAGR Agara (Towards Silk Board),CSB1 Central Silk Board (Towards BTM Layout),5,6,83.33333,3,10,30.000002
ANP-ITPLUP,BTM16 16th Main BTM Layout ,MTDB Marathahalli Bridge,6,12,50.0,3,25,12.0
225GUP,NDH Nayandahalli,RRT RR Temple,4,7,57.14286,133,739,17.997293
YHKOT-MSP-HPN 401BUP,MSPY1 MS Palya,BELCRL BEL Circle (Towards Mathikere),4,12,33.333336,50,474,10.548523
MBS-NTRDN,HRDG Harishchandra Ghat,MGDRT9 Magadi Road TollGate ,3,7,42.857143,17,47,36.17021
KDL-BSKDN,RGHL1 Raghuvanahalli Cross,KKC1 Konanakunte Cross,2,9,22.222223,7,42,16.666668
245DN,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,14,14.285715,50,548,9.124087
CVRN-SNRUP,DRDOQTRS DRDO Quarters,BEMLG1 BEML Gate (Towards HAL),2,11,18.181818,21,112,18.75
306-BDN,SMTHL Samethanahalli,CNSA Channasandra (Towards Hope Farm),2,20,10.0,56,655,8.549618
D06-MDMSUP,KFCIPDR Police Station Indiranagara,DPOHLI Dhoopanahalli,2,7,28.57143,28,43,65.11628
JPNGA-BSKUP,KKC1 Konanakunte Cross,JRGH Jaraganahalli Cross,2,4,50.0,7,22,31.818182
329UP,VRTGTC Varthuru Govt College,MTHR Muthsandra,4,17,23.529411,76,1166,6.51801
96BDN,BSN0 Basaveshwaranagara New Bus Stand,KBS123 Kempegowda Bus Station,4,5,80.0,56,180,31.111113
ASD-VSD-KBSDN,MRSNF Marison Factory,JHC3 Jalahalli Cross,3,15,20.0,47,132,35.60606
378DN,WPTGT1 Wipro Gate Shikaripalya Cross,ELC1 Electronic City 378 (Towards Electronic City),3,40,7.5000005,2588,33741,7.670193
D31G-JNN 235HUP,SRSC5 Sirsi Circle,SEC3 Shanthi Talkies,4,9,44.444447,8,37,21.621622
C-500CKUP,AECSL-1 AECS Layout Cross,SJRHS Sathya Sai Hospital,3,19,15.789473,56,693,8.080808
75-FDN,MGDTLG Magadi Road TollGate ,RJNESI ESI Hospital Rajajinagara (Towards Navarang),4,15,26.666668,96,541,17.744917
348-DDN,MDWL1 Madivala,SBS1 Shivajinagara Bus Station,7,9,77.77778,64,270,23.703703
YLKOT-KNDUP,YHK1 Yelahanka Old Town,VTHL1 Venkatala,2,12,16.666668,55,396,13.888889
224DUP,KMT1 KR Market (Kalasipalya),SRSC Sirsi Circle,2,11,18.181818,62,613,10.114192
PTH-HSHUP,YHKSC1 Yelahanka Santhe Circle,HMH-3 Hunasamaranahalli,4,7,57.14286,3,11,27.272728
258DN,MRSNF Marison Factory,JHC3 Jalahalli Cross,4,24,16.666668,253,4361,5.8014216
D10-BGLR-DVHUP,CSNG Chikka Sanne Gate,DVHOBS2 Devanahalli Old Bus Stand,2,14,14.285715,4,4,100.0
TYPD-BDDDN,BMNGC Byramangala Cross (Towards Bidadi),BDD Bidadi,2,4,50.0,85,98,86.734695
343-ADN,SNTTMC3 Shanthinagara TTMC,KBS123 Kempegowda Bus Station,2,2,100.0,1,1,100.0
KBS-D10UP,KBS1 Kempegowda Bus Station,D10G2 Depot-10 Gate,8,8,100.0,42,222,18.918919
238-WUP,VJN Vijayanagara,MDLPLYA Moodalapalya,2,10,20.0,100,886,11.286682
235-HUP,JYNGR9B 9th Block Jayanagara (40th Cross),JTTMC Jayanagara TTMC,2,12,16.666668,100,816,12.254902
304-MCDN,SJRH Sathya Sai Hospital,MTHB Marathahalli Bridge,5,19,26.31579,70,934,7.494646
TBS-KMT 258DDN,MRSNF Marison Factory,JHC3 Jalahalli Cross,3,18,16.666668,46,434,10.599078
201-MDDN,MDWMK Madivala,718 JP Nagara 3rd Phase,3,5,60.000004,9,27,33.333336
351C KBS-RMSUP,ELC3 Electronic City (Towards Attibele),HBGDI Hebbagodi,2,20,10.0,11,95,11.578947
CKH-PTNDN,CKHL Chokkanahalli (Towards RK Hegde Nagara),THRHC Thirumenahalli Cross,2,2,100.0,1,1,100.0
302-JDN,KMH Kammanahalli,SBS1 Shivajinagara Bus Station,7,8,87.5,149,709,21.015514
401-A PSB-YKHOTUP,JHC2 Jalahalli Cross,KMGH Kammagondanahalli Bridge,2,10,20.0,57,313,18.210863
13-CDN,WGPS Wilson Garden Police Station,SBS1 Shivajinagara Bus Station,8,9,88.88889,340,1761,19.307213
15-GUP,KBS1 Kempegowda Bus Station,DYNDSC Dayananda Sagar College,9,10,90.0,275,1945,14.138818
502-CTDN,NAGJN Jn of Nagawara,GRGPLY Goraguntepalya (Towards Tumkur Road),12,20,60.000004,142,1244,11.414791
258-SB ISVH-KBSDN,NMG0 Nelamangala Bus Station,JHC3 Jalahalli Cross,11,24,45.833336,84,919,9.14037
307BUP,tinf Tin Factory,KRPM-1 KR Puram Market,2,11,18.181818,21,98,21.428572
PTH-KDGCDN,YHKSC1 Yelahanka Santhe Circle,HNSM1 Hunasamaranahalli,4,6,66.66667,4,11,36.363636
500CTDN,KDBN1 Kadabisanahalli,CSB1 Central Silk Board (Towards BTM Layout),6,11,54.545456,9,120,7.5000005
231-PUP,GNKL123 Ganakal (Towards Borehalli),BDD Bidadi,19,21,90.47619,8,43,18.60465
368-DUP,SBS0 Shivajinagara Bus Station,GRPL Gurappanapalya,7,11,63.636364,76,588,12.92517
HSK-HRM-BMT10DN,AVLHOKOT Avalahalli (Towards Yarandahalli),BDRCS Bidarahalli Cross,3,15,20.0,29,161,18.012423
287-TUP,KRM4 KR Market,KBS1 Kempegowda Bus Station,3,10,30.000002,104,419,24.821003
125DN,SBS0 Shivajinagara Bus Station,KRM4 KR Market,3,3,100.0,13,19,68.42105
KBS-AGS-PPLOUP,Corpo Corporation (Towards KR Market),BANKC Bank Colony,5,9,55.555557,4,24,16.666668
500-CDN,SLKB Central Silk Board (Towards Hebbala),MTDB Marathahalli Bridge,9,16,56.25,144,1525,9.442623
96-DUP,CNTRL Central,KMLNGR Kamalanagara,2,6,33.333336,7,16,43.75
238-FUP,MGDTLG Magadi Road TollGate ,RJNESI ESI Hospital Rajajinagara (Towards Navarang),2,9,22.222223,112,798,14.035088
364FUP,END East End Jayanagara (Towards BTM Layout),BLKLLI Bilekahalli,2,12,16.666668,100,1104,9.057971
335-JUP,KRM4 KR Market,ASTNG Ashwath Nagara (Towards Marathhalli Bridge),12,12,100.0,26,175,14.857143
313-CDN,BGH Benniganahalli,DEPO6 Depot-06 Gate,3,4,75.0,1,1,100.0
215HAUP,RVCD3 RV Dental College,KDGT1 Kothanuru Dinne Ganesha Temple,4,14,28.57143,51,423,12.056737
HSS-HBLUP,KDTGT1 Kodathi Gate,BSJP Bellanduru Gate SJP Road ,4,19,21.052631,13,206,6.31068
411DUP,HBGDI1 Hebbagodi,ELC Electronic City (Towards Bommanahalli),2,19,10.526316,77,1172,6.569966
VSD-ATBUP,LGHM Lalbagh Main Gate,KRPNC Krupanidhi College,8,15,53.333336,8,113,7.079646
507UP,KGHB Kammagondanahalli Bridge,JHC4 Jalahalli Cross,4,34,11.764706,546,7163,7.622504
250-ACUP,JHC Jalahalli Cross,BGLG Bagalagunte (Towards Chikkabanavara),4,13,30.769232,599,3716,16.119484
401-BRUP,YTTMC1 Yashawanthapura TTMC,MTKR Mattikere,3,16,18.75,378,3817,9.903065
333-FDN,HALMG-1 HAL Main Gate (Towards Murugeshpalya),KBS123 Kempegowda Bus Station,8,11,72.72727,175,860,20.348837
281-GDN,HBL1 Hebbala (Towards RM Guttahalli),KBS123 Kempegowda Bus Station,5,17,29.411766,35,404,8.663366
YBS-PTCUP,YTTMC1 Yashawanthapura TTMC,MTKR Mattikere,2,12,16.666668,42,352,11.931818
138DN,JVBN Jeevanbheema Nagara,KFCPS3 Police Station Indiranagara,4,12,33.333336,289,2958,9.770115
500-QGDN,tinf Tin Factory,KRPG KR Puram Govt Hospital,2,15,13.333334,86,568,15.140845
401-BAUP,YHK1 Yelahanka Old Town,NES NES Office,2,30,6.666667,22,373,5.8981233
266-FUP,KRM4 KR Market,MTKR Mattikere,7,13,53.846157,55,809,6.7985168
GKVK-STPUP,HBL1 Hebbala (Towards RM Guttahalli),RTNPS3 Police Station RT Nagara ,2,5,40.0,12,34,35.294117
327-EDN,VRTBS Varthuru,VRTKD2 Varthur Kodi,2,16,12.5,58,972,5.967078
401KDN,YTTMC1 Yashawanthapura TTMC,MTKR Mattikere,3,34,8.823529,237,9439,2.5108593
PNN-MDLUP,BNS0 Banashankari Bus Station,RGD Ragigudda Temple,3,3,100.0,1,1,100.0
298-MAUP,CSNG Chikka Sanne Gate,DHN Devanahalli New Bus Station,2,21,9.523809,23,58,39.655174
ATB-CSBDN,HBGDI1 Hebbagodi,ELC Electronic City (Towards Bommanahalli),2,15,13.333334,37,278,13.309352
TR-3DN,EJPR Ejipura,MYHL Mayohall,6,13,46.153847,467,4893,9.544247
KVBS-SBSUP,RTNPS1 Police Station RT Nagara ,SBS1 Shivajinagara Bus Station,5,6,83.33333,11,56,19.642857
D35-KDBUP,KDGC2 Kadabagere Cross,KDBR Kadabagere,2,2,100.0,2,2,100.0
BDSN-KLNBDN,KNRP K Narayanapura,KLNB Kalyananagara Bus Stand,4,4,100.0,3,9,33.333336
JAPC-BSKDN,BMH4 Bommanahalli (Towards St Johns),BSKTTMC0 Banashankari TTMC,4,11,36.363636,29,291,9.965636
234-E VSDDN,BPN Bapujinagara,CRPN Corporation (Towards Cauvery Bhavan),3,7,42.857143,9,34,26.470589
242-ZUP,KBS1 Kempegowda Bus Station,BDH2 Byadarahalli (Towards Gollarahatti),9,19,47.368423,69,830,8.313252
141-KUP,SBS0 Shivajinagara Bus Station,VNRPT Vannarapet,4,9,44.444447,80,501,15.968063
87DN,HPN Hampinagara RPC Layout,KBS123 Kempegowda Bus Station,5,5,100.0,429,1445,29.688581
500CDN,RMNALDM Ramamurthy Nagara Alada Mara,KRPG KR Puram Govt Hospital,2,24,8.333334,448,4376,10.23766
248-WDN,SRSC5 Sirsi Circle,KMT1 KR Market (Kalasipalya),2,3,66.66667,8,9,88.88889
38UP,RICHMD Richmond Circle,MYH1 Mayohall,2,2,100.0,1,1,100.0
256-KUP,KBS1 Kempegowda Bus Station,YTTMC Yashawanthapura TTMC,4,14,28.57143,6,72,8.333334
KBS-BEL-CUP,KBS1 Kempegowda Bus Station,MTKR Mattikere,7,8,87.5,34,113,30.088497
345-EUP,KMT1 KR Market (Kalasipalya),HNSRA Hongasandra,9,16,56.25,164,900,18.222221
PTN-ISROUP,VDPRA Vidyaranyapura,BELCRL BEL Circle (Towards Mathikere),4,20,20.0,11,108,10.185185
HST-D35DN,BTSLO BTS Layout Basaveshwaranagara,BHRTH Bharath Nagara 2nd Stage,2,4,50.0,1,3,33.333336
SNB-NSRUP,NCBS Nanjappa Circle,ASTWN Austin Town,2,3,66.66667,1,2,50.0
ITPL-YTTMCDN,KLNGRA Kalyananagara,VNPY2 Veeranapalya,4,23,17.391304,26,294,8.843537
401-MAUP,KTP Kottigepalya,KGR2 Kengeri TTMC,6,20,30.000002,60,1056,5.6818185
296-QUP,SBS0 Shivajinagara Bus Station,KARCH1 Kacharakanahalli,6,11,54.545456,61,671,9.090909
KBS-KMT-BEML5UP,RRT RR Temple,BEMLCX BEML Complex,2,6,33.333336,6,20,30.000002
BNP-ANKUP,KOPG Koppa Gate,JGN0 Jigani Bus Stand,2,3,66.66667,1,1,100.0
248-FDN,BPN Bapujinagara,KMT1 KR Market (Kalasipalya),3,10,30.000002,104,587,17.717207
NGM-KRMDN,MSPY1 MS Palya,KRM4 KR Market,12,20,60.000004,26,529,4.9149337
323-MDN,VRTBS Varthuru,MRHLLI Marathahalli,6,17,35.294117,53,807,6.567534
V-500KSUP,AECSL-1 AECS Layout Cross,SJRHS Sathya Sai Hospital,4,22,18.181818,324,3343,9.691894
303-CUP,KRM4 KR Market,MRTSVNG1 Maruthi Sevanagara,8,12,66.66667,195,1137,17.150396
410DN,JHC4 Jalahalli Cross,PSS1 Peenya 2nd stage,5,30,16.666668,703,10302,6.8239174
90-E VSD-CJPUP,AGS Telephone Exchange AGO ,MLLSRM 11th Cross Malleshwaram ,3,6,50.0,35,142,24.647886
258-PDN,MDNH5 Madanayakanahalli,JHC3 Jalahalli Cross,5,21,23.809525,45,699,6.437768
KBS-SVKUP,YTTMC Yashawanthapura TTMC,BGLG Bagalagunte (Towards Chikkabanavara),2,5,40.0,1,6,16.666668
30-EUP,CMRP Chamarajapet (Towards KR Market),KRMARK KR Market,2,2,100.0,3,3,100.0
KIAS-12UP,WGPS Wilson Garden Police Station,KIAS Kempegowda International Airport,6,17,35.294117,304,902,33.702885
238-ZAUP,KBS1 Kempegowda Bus Station,MDLPLYA Moodalapalya,6,17,35.294117,66,536,12.313433
PTH-MRHDN,NES1 NES Office,BRP1 Byatarayanapura (Towards Hebbala),2,4,50.0,3,4,75.0
36-BDN,CMRJPT Chamarajapet (Towards Ganesh Bhavana),NGNDRB Nagendra Block,3,10,30.000002,12,126,9.523809
242-TAUP,KMT1 KR Market (Kalasipalya),KTP Kottigepalya,7,16,43.75,19,220,8.636364
CSB-BNMUP,BOPBSTP Dhoopanahalli,kfcps2 Police Station Indiranagara,2,7,28.57143,58,219,26.484018
313-TDN,HLS Halasuru,KRM4 KR Market,5,10,50.0,23,187,12.299465
210-QUP,JBS4thB Jayanagara 4th Block,BSKTTMC0 Banashankari TTMC,2,9,22.222223,53,277,19.133574
D10-OASISUP,HNRCS Hennur Cross (Towards Hennur Bande),GDLH Geddalahalli (Towards Byrathi Bande),2,7,28.57143,5,22,22.727274
PTH-JKR-KBSDN,BRP1 Byatarayanapura (Towards Hebbala),KBS123 Kempegowda Bus Station,7,9,77.77778,11,80,13.75
401-CDN,BNGUSTY Bengaluru University Gate (Towards ADM Block),BUAMB Bengaluru University Administrative Block,2,3,66.66667,1,1,100.0
CHM-SBSUP,CRLST Cantonment Railway Station,SBS1 Shivajinagara Bus Station,2,2,100.0,14,14,100.0
KBS-VNPTHUP,NMG0 Nelamangala Bus Station,JOTR1 Jn of Tumkur Road,2,2,100.0,1,1,100.0
KMT-SNBSUP,CRP12 Corporation (Towards Subbiah Circle),SNTTMC Shanthinagara TTMC,2,2,100.0,4,4,100.0
300-DUP,SBS0 Shivajinagara Bus Station,STLFTYB Steel Factory Banaswadi,7,8,87.5,68,630,10.793651
258-V GRH-KBSDN,MRSNF Marison Factory,JHC3 Jalahalli Cross,3,18,16.666668,38,560,6.7857146
25UP,JBS4th Jayanagara 4th Block,END East End Jayanagara (Towards BTM Layout),9,13,69.230774,95,365,26.027397
410-ADN,BMH4 Bommanahalli (Towards St Johns),BTM16th 16th Main BTM Layout ,2,31,6.4516125,227,4295,5.2852154
RJPS-KBSDN,RJNEH ESI Hospital Rajajinagara (Towards Old Police Station),KBS123 Kempegowda Bus Station,3,6,50.0,9,25,36.0
D06-DRDO2UP,ISH Isolation Hospital,DRDOQ DRDO Quarters,2,2,100.0,3,3,100.0
333-HDN,MNKLCR1 Munnekolalu Cross,KBS123 Kempegowda Bus Station,15,16,93.75,109,764,14.267015
381CDN,SLBKEB-2 Sulibele,HSKSTP Hoskote Bus Stand,6,13,46.153847,649,3875,16.748386
243-CUP,KMT1 KR Market (Kalasipalya),MGDTG Magadi Road TollGate ,4,13,30.769232,45,460,9.782609
280FDN,AVHLY Avalahalli (Towards Ramapura),BDHI Bidarahalli,3,19,15.789473,67,685,9.781022
342-FDN,AGRJN Agara Junction,KBS1 Kempegowda Bus Station,19,33,57.575756,439,9032,4.860496
411UP,KML3 Kumaraswamy Layout,BSKTTMC1 Banashankari TTMC,4,20,20.0,42,391,10.741689
V-500KCUP,AECSL-1 AECS Layout Cross,SJRHS Sathya Sai Hospital,3,16,18.75,75,1019,7.3601575
143-ADN,KMT2 KR Market,JJN Jaga Jeevan Ram Nagara,2,6,33.333336,72,191,37.696335
ABG-YNRSUP,ABGR2 Abbigere,BELCRL BEL Circle (Towards Mathikere),4,6,66.66667,4,18,22.222223
99-ADN,MKN Mohankumar Nagara,KBS123 Kempegowda Bus Station,6,6,100.0,100,627,15.948963
KTH-D35UP,KTH2 Kittanahalli,KDGC2 Kadabagere Cross,2,3,66.66667,3,6,50.0
KIAS-6UP,SDHG1 Sadahalli Gate,KIAS Kempegowda International Airport,2,22,9.090909,1,1,100.0
240NDN,MGDI Magadi,SKDKT1 Sunkadakatte,13,26,50.0,11,143,7.692308
227NDN,KGR1 Kengeri TTMC,KMT1 KR Market (Kalasipalya),7,12,58.333332,60,618,9.708737
SDH-KBS-242UP,CC3 College Cross Byadarahalli,KHB1 KHB Colony,6,11,54.545456,4,33,12.121212
290-DUP,KDGH23 Kadugondanahalli Police Station,KBS123 Kempegowda Bus Station,3,7,42.857143,98,198,49.49495
43-C VSD KBSDN,mnsk Muneshwara Nagara Kerekodi,KRMARK KR Market,7,11,63.636364,22,157,14.012739
266-DUP,KRM4 KR Market,KBS1 Kempegowda Bus Station,3,24,12.5,39,671,5.8122206
503-AUP,jnon Jn of Nagawara,KRPRLY Railway Station KR Puram,6,25,24.0,36,851,4.230317
316-RUP,KRM4 KR Market,KRPM-1 KR Puram Market,10,22,45.454548,142,2144,6.623134
401-TDN,MRSNF Marison Factory,JHC3 Jalahalli Cross,3,23,13.043478,32,538,5.947955
342-WDN,DKKSJP Doddakannalli,AGRA Agara (Towards Hebbala),4,18,22.222223,67,1358,4.933726
325-AUP,MRH Marathahalli ,VRTGTC Varthuru Govt College,6,18,33.333336,59,672,8.779762
HSRBC-ELCDN,HSRBDA BDA Complex HSR Layout,BMH2 Bommanahalli (Towards Electronic City),2,3,66.66667,5,5,100.0
215BBDN,ANP3 Anjanapura,BSKTTMC0 Banashankari TTMC,5,5,100.0,218,1123,19.412289
74DN,SBS0 Shivajinagara Bus Station,HRDG Harishchandra Ghat,4,6,66.66667,28,77,36.363636
211-MDN,JRGH Jaraganahalli Cross,BSKTTMC1 Banashankari TTMC,2,22,9.090909,33,403,8.188586
GNP-HBLUP,MRTHLY Mallathahalli Cross,NGBVC Nagarabhavi Circle,2,22,9.090909,7,91,7.692308
KMT-BGH 333QUP,KRM4 KR Market,HALMG HAL Main Gate (Towards Marathahalli Bridge),8,13,61.538464,71,478,14.853557
HST-D21GDN,BUAMB1 Bengaluru University Administrative Block,BNGUNVSTG Bengaluru University Gate (Towards Kengeri),2,6,33.333336,4,24,16.666668
241-PDN,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,12,16.666668,92,948,9.704641
242-TBDN,BDH1 Byadarahalli (Towards Sunkadakatte),SKDKT1 Sunkadakatte,2,15,13.333334,25,176,14.204545
D21G-KGRUP,BGSM BGS Health City Gate Abhiman Studio,KGR1 Kengeri TTMC,3,5,60.000004,46,138,33.333336
266TDN,MTKR1 Mattikere,KBS123 Kempegowda Bus Station,4,7,57.14286,7,45,15.555556
213-QUP,UDYP Udipalya,KGP0 Kaggalipura,2,19,10.526316,15,154,9.740259
CKA-GKVK-45G-277UP,KTPR Kathriguppe,KBS1 Kempegowda Bus Station,7,13,53.846157,12,78,15.384616
D34GT-UTHUP,KKTC Konanakunte Cross,UTH1 Uttarahalli,3,4,75.0,12,24,50.0
RMG-RVC-DTTUP,CHRP Chamarajapet (Towards TR Mill),RVC1 Raghavendra Colony,2,5,40.0,1,1,100.0
80 MLO -KBSDN,SJTR Sujatha Talkies,kcle Kodays Circle,3,4,75.0,3,3,100.0
270-SDN,MTKR1 Mattikere,SBS1 Shivajinagara Bus Station,7,11,63.636364,30,157,19.10828
KBS-HSK-PPLOUP,CMRJPT Chamarajapet (Towards Ganesh Bhavana),HNTMWRD Hanumanthanagara Ward Office ,2,12,16.666668,12,101,11.881188
NRP-SMHDN,SGK Sri GandhadaKavalu,KTP1 Kottigepalya,2,2,100.0,10,10,100.0
500-QGUP,TNF Tin Factory,HBLB Hebbala Bridge (Towards Bhadrappa Layout),8,14,57.14286,79,778,10.154242
281UP,KRM4 KR Market,KBS1 Kempegowda Bus Station,3,20,15.000001,40,615,6.5040646
RMG-KBSUP,RMG6 RM Guttahalli,KBS123 Kempegowda Bus Station,2,2,100.0,8,8,100.0
340DN,KAIK Kaikondrahalli,AGRA Agara (Towards Hebbala),3,7,42.857143,36,204,17.647058
213-DBUP,SECRL South End Circle,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),2,20,10.0,34,420,8.095239
JHV-PSS 273DN,JLH Jalahalli Village,JHC4 Jalahalli Cross,4,6,66.66667,14,56,25.0
380QDN,KRPM KR Puram Market,TIF Tin Factory,2,19,10.526316,33,326,10.1227
RVC-RMG-DTTUP,RVC1 Raghavendra Colony,CHRPE Chamarajapet (Towards Kempegowda Bus Station),2,7,28.57143,123,374,32.8877
